epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_loss
0,511,,,,,,0.0962962955236435,1.1436289548873901
0,511,,,,0.4620361328125,1.5474929809570312,,
1,1023,,,,,,0.9321937561035156,0.6587788462638855
1,1023,,,,0.64306640625,0.7129905819892883,,
2,1535,,,,,,0.9538461565971375,0.6200385689735413
2,1535,,,,0.820068359375,0.5090521574020386,,
3,2047,,,,,,0.9390313625335693,0.6031668782234192
3,2047,,,,0.8433837890625,0.44838032126426697,,
4,2559,,,,,,0.9629629850387573,0.24064403772354126
4,2559,,,,0.8668212890625,0.40830036997795105,,
5,3071,,,,,,0.9789173603057861,0.27058860659599304
5,3071,,,,0.89697265625,0.32555660605430603,,
6,3583,,,,,,0.9789173603057861,0.2123754918575287
6,3583,,,,0.9151611328125,0.2829412817955017,,
7,4095,,,,,,0.9612535834312439,0.28198790550231934
7,4095,,,,0.9310302734375,0.2353728860616684,,
8,4607,,,,,,0.09287749230861664,0.891083836555481
8,4607,,,,0.675537109375,0.6439394950866699,,
9,5119,,,,,,0.9658119678497314,0.3227870762348175
9,5119,,,,0.84814453125,0.38323330879211426,,
10,5631,,,,,,0.9749287962913513,0.23954108357429504
10,5631,,,,0.9344482421875,0.24580758810043335,,
11,5632,0.9766647815704346,0.9205263257026672,0.22515563666820526,,,,
