dataset_type,parametr,wartość
binary,batch_size,16.0
binary,max_epochs,20.0
binary,learning_rate,0.001
binary,sample_rate,16000.0
binary,duration_sec,2.0
binary,n_mels,128.0
binary,n_fft,1024.0
binary,hop_length,256.0
binary,train_ratio,0.7
binary,val_ratio,0.15
binary,test_ratio,0.15
binary,seed,42.0
binary,noise_std,0.001
binary,kalman_q,1e-05
binary,kalman_r,1e-06
multiclass,batch_size,16.0
multiclass,max_epochs,20.0
multiclass,learning_rate,0.001
multiclass,sample_rate,16000.0
multiclass,duration_sec,2.0
multiclass,n_mels,128.0
multiclass,n_fft,1024.0
multiclass,hop_length,256.0
multiclass,train_ratio,0.7
multiclass,val_ratio,0.15
multiclass,test_ratio,0.15
multiclass,seed,42.0
multiclass,noise_std,0.0005
multiclass,kalman_q,1e-06
multiclass,kalman_r,1e-05
